CaseID,ActivityID
A1,3
A1,10
A100,3
A100,10
A100,5
A100,1
A100,11
A10000,3
A10000,10
A10000,5
A10000,1
A10000,7
A10001,3
A10001,10
A10001,5
A10001,4
A10001,1
A10001,9
A10004,3
A10004,10
A10004,5
A10004,1
A10004,11
A10005,3
A10005,7
A10007,3
A10007,7
A10008,3
A10008,10
A10008,5
A10008,1
A10008,11
A10009,3
A10009,10
A10009,5
A10009,1
A10009,7
A10009,7
A1001,3
A1001,10
A1001,5
A1001,1
A1001,11
A10010,3
A10010,10
A10010,5
A10010,1
A10010,11
A10011,3
A10011,10
A10011,5
A10011,1
A10011,11
A10012,3
A10012,10
A10015,3
A10015,10
A10015,5
A10015,1
A10015,11
A10018,3
A10018,10
A10018,5
A10018,1
A10018,7
A10019,3
A10019,10
A10019,5
A10019,1
A10019,11
A1002,3
A1002,10
A1002,5
A1002,1
A1002,11
A10021,3
A10021,10
A10021,5
A10021,1
A10021,11
A10022,3
A10022,7
A10023,3
A10023,10
A10023,5
A10023,1
A10023,11
A10024,3
A10024,7
A10025,3
A10025,10
A10025,5
A10025,1
A10025,11
A10026,3
A10026,10
A10026,5
A10026,1
A10026,11
A10029,3
A10029,7
A10030,3
A10030,7
A10033,3
A10033,10
A10033,5
A10033,1
A10033,7
A10034,3
A10034,10
A10034,5
A10034,1
A10034,11
A10041,3
A10041,10
A10042,3
A10042,10
A10042,5
A10042,1
A10042,7
A10042,7
A10043,3
A10043,10
A10043,5
A10043,1
A10043,7
A10044,3
A10044,10
A10044,5
A10044,1
A10044,11
A10045,3
A10045,10
A10046,3
A10046,10
A10046,5
A10046,1
A10046,11
A10047,3
A10047,7
A10049,3
A10049,7
A10050,3
A10050,10
A10050,5
A10050,1
A10050,11
A10054,3
A10054,10
A10056,3
A10056,7
A10059,3
A10059,7
A1006,3
A1006,7
A10060,3
A10060,7
A10061,3
A10061,10
A10061,5
A10061,1
A10061,7
A10063,3
A10063,10
A10063,5
A10063,1
A10063,11
A10067,3
A10067,10
