0.0,0.0,0.0,140,60,*,205
0.0,0.0,0.0,140,60,*,205
0.5,0.5,0.33333333333333326,226,140,*,226,205
1.0,1.0,1.0,17,57,*,17,57
0.5,0.5,0.33333333333333326,226,140,*,226,205
0.0,0.0,0.0,140,257,*,205
0.0,0.0,0.33333333333333326,60,58,*,58,17
0.5,0.5,0.33333333333333326,226,140,*,226,205
0.0,0.0,0.0,140,60,*,205
0.0,0.0,0.0,140,257,*,205
0.0,0.0,0.0,140,60,*,205
0.0,0.0,0.33333333333333326,60,58,*,58,17
0.5,0.5,0.33333333333333326,226,140,*,226,205
0.0,0.0,0.0,59,15,*,58,17
0.0,0.0,0.0,140,257,*,205
0.0,0.0,0.0,175,226,*,234,205
0.0,0.0,0.0,140,257,*,205
0.0,0.0,0.33333333333333326,60,58,*,58,17
0.0,0.0,0.0,140,60,*,205
0.0,0.0,0.0,140,257,*,205
1.0,1.0,1.0,57,205,*,57,205
0.0,0.0,0.0,140,60,*,205
0.0,0.0,0.0,140,58,*,205
0.0,0.0,0.0,140,257,*,205
0.0,0.0,0.33333333333333326,60,58,*,58,17
1.0,1.0,1.0,58,17,*,58,17
1.0,1.0,1.0,175,226,*,175,226
1.0,1.0,1.0,175,226,*,175,226
1.0,1.0,1.0,175,226,*,175,226
0.5,0.5,0.33333333333333326,226,140,*,226,205
0.5,0.5,0.33333333333333326,226,140,*,226,205
