0.0,0.0,0.16666666666666663,353,17,436,325,*,325,402,372
0.0,0.0,0.0,17,436,325,402,*,196,267,403,324
0.75,0.75,0.6,449,451,353,325,*,449,451,353,17
0.25,0.25,0.1428571428571428,402,246,111,105,*,402,372,475,239
0.0,0.0,0.0,17,436,325,402,*,196,267,403,324
0.0,0.0,0.16666666666666663,353,17,436,325,*,325,402,372
0.0,0.0,0.0,17,436,325,402,*,196,267,403,324
0.0,0.0,0.0,17,436,325,402,*,196,267,403,324
0.0,0.0,0.16666666666666663,353,17,436,325,*,325,402,372
0.0,0.0,0.0,325,402,246,111,*,196,267,403,324
0.0,0.0,0.16666666666666663,353,17,436,325,*,325,402,372
0.0,0.0,0.16666666666666663,353,17,436,325,*,325,402,372
0.0,0.0,0.16666666666666663,353,17,436,325,*,325,402,372
0.0,0.0,0.16666666666666663,353,17,436,325,*,325,402,372
0.0,0.0,0.16666666666666663,353,17,436,325,*,325,402,372
0.0,0.0,0.16666666666666663,353,17,436,325,*,325,402,372
0.5,0.5,0.33333333333333326,451,353,69,433,*,451,353,17,436
0.0,0.0,0.16666666666666663,353,17,436,325,*,325,402,372
0.0,0.0,0.0,17,436,325,402,*,196,267,403,324
0.0,0.0,0.16666666666666663,353,17,436,325,*,325,402,372
1.0,1.0,1.0,451,353,17,436,*,451,353,17,436
0.0,0.0,0.0,449,451,353,17,*,196,403,110,18
0.0,0.0,0.16666666666666663,353,17,436,325,*,325,402,372
0.0,0.0,0.16666666666666663,353,17,436,325,*,325,402,372
0.0,0.0,0.0,17,436,325,402,*,196,267,403,324
0.5,0.5,0.33333333333333326,451,353,17,436,*,451,353,325,402
0.25,0.25,0.1428571428571428,402,246,469,105,*,402,372,475,239
0.0,0.0,0.16666666666666663,353,17,436,325,*,325,402,372
0.0,0.0,0.0,17,436,325,402,*,196,267,403,324
0.25,0.25,0.1428571428571428,451,353,17,436,*,451,196,267,403
0.0,0.0,0.16666666666666663,353,17,436,325,*,325,402,372
0.0,0.0,0.0,17,436,325,402,*,196,267,403,324
0.75,0.75,0.6,17,436,267,325,*,17,436,267,168
1.0,1.0,1.0,449,451,353,17,*,449,451,353,17
0.25,0.25,0.1428571428571428,402,246,105,23,*,402,372,475,239
0.0,0.0,0.0,17,436,325,402,*,196,267,403,324
0.0,0.0,0.0,17,436,325,402,*,196,267,403,324
0.0,0.0,0.0,449,451,353,17,*,372,239,22
1.0,1.0,1.0,451,353,17,436,*,451,353,17,436
0.0,0.0,0.0,17,436,325,402,*,196,267,403,324
0.0,0.0,0.0,325,402,246,105,*,196,267,403,324
0.0,0.0,0.0,17,436,325,402,*,196,267,403,324
0.0,0.0,0.0,17,436,325,402,*,196,267,403,324
1.0,1.0,1.0,451,353,17,436,*,451,353,17,436
0.0,0.0,0.0,17,436,325,402,*,196,267,403,324
0.0,0.0,0.1428571428571428,17,436,196,325,*,196,267,403,324
0.0,0.0,0.16666666666666663,353,17,436,325,*,325,402,372
0.25,0.25,0.1428571428571428,449,451,353,17,*,449,325,469,372
0.0,0.0,0.0,17,436,325,402,*,196,267,403,324
0.5,0.5,0.4,451,353,17,17,*,451,353,325,372
0.0,0.0,0.0,449,451,353,17,*,196,403,110,18
0.0,0.0,0.0,17,436,325,402,*,196,267,403,324
0.0,0.0,0.0,17,436,325,402,*,196,267,403,324
0.5,0.5,0.33333333333333326,325,402,246,446,*,325,402,111,104
0.0,0.0,0.16666666666666663,353,17,436,325,*,325,402,372
1.0,1.0,1.0,451,353,17,436,*,451,353,17,436
0.0,0.0,0.0,17,436,325,402,*,196,267,403,324
0.0,0.0,0.0,17,436,325,402,*,196,267,403,324
0.0,0.0,0.16666666666666663,353,17,436,325,*,325,402,372
1.0,1.0,1.0,451,353,17,436,*,451,353,17,436
0.0,0.0,0.16666666666666663,353,17,436,325,*,325,402,372
0.0,0.0,0.16666666666666663,353,17,436,325,*,325,402,372
0.0,0.0,0.0,17,436,325,402,*,196,267,403,324
0.25,0.25,0.1428571428571428,451,353,17,436,*,451,196,267,403
0.0,0.0,0.16666666666666663,353,17,436,325,*,325,402,372
0.0,0.0,0.16666666666666663,353,17,436,325,*,325,402,372
