0.0,0.0,0.0,25,461,*,372
1.0,1.0,1.0,461,408,*,461,408
0.5,0.5,0.33333333333333326,266,147,*,266,17
0.5,0.5,0.33333333333333326,408,449,*,408,262
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,25,461,*,372
1.0,1.0,1.0,461,408,*,461,408
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,25,461,*,372
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,147,25,*,372,239
0.0,0.0,0.0,25,461,*,372
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,147,25,*,372,475
1.0,1.0,1.0,266,147,*,266,147
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,25,461,*,372
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,147,25,*,372
0.5,0.5,0.33333333333333326,408,449,*,408,262
0.0,0.0,0.0,25,461,*,372
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,147,25,*,372,239
0.0,0.0,0.0,25,461,*,372
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,461,408,*,462,407
0.5,0.5,0.33333333333333326,266,147,*,266,17
0.5,0.5,0.33333333333333326,408,449,*,408,262
1.0,1.0,1.0,461,408,*,461,408
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.33333333333333326,266,147,*,147,400
0.0,0.0,0.0,147,25,*,372,9
1.0,1.0,1.0,461,408,*,461,408
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.33333333333333326,461,408,*,133,461
1.0,1.0,1.0,461,408,*,461,408
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,147,25,*,372,375
1.0,1.0,1.0,461,408,*,461,408
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,25,461,*,372
1.0,1.0,1.0,266,147,*,266,147
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,147,25,*,372,239
0.0,0.0,0.0,25,462,*,372,471
1.0,1.0,1.0,266,147,*,266,147
1.0,1.0,1.0,461,408,*,461,408
1.0,1.0,1.0,461,408,*,461,408
1.0,1.0,1.0,25,461,*,25,461
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,147,25,*,372
1.0,1.0,1.0,461,408,*,461,408
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,147,25,*,372,239
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,25,461,*,372
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,147,25,*,372,375
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,25,461,*,372
