0.0,0.0,0.0,25,461,*,143
0.0,0.0,0.0,461,408,*,485,325
0.0,0.0,0.0,266,147,*,408,350
0.0,0.0,0.33333333333333326,408,449,*,462,408
0.0,0.0,0.0,66,372,*,375,458
0.0,0.0,0.0,17,436,*,69,128
0.0,0.0,0.0,266,147,*,511,408
0.0,0.0,0.0,461,408,*,353,196
0.0,0.0,0.0,25,461,*,325,372
0.0,0.0,0.0,66,66,*,6,191
0.0,0.0,0.0,461,408,*,81,483
0.0,0.0,0.0,66,66,*,463,407
0.0,0.0,0.0,375,375,*,455,471
0.5,0.5,0.5,461,408,*,461,461
0.0,0.0,0.0,508,82,*,111,198
0.0,0.0,0.0,25,461,*,111,319
0.0,0.0,0.0,461,408,*,25,106
0.0,0.0,0.0,25,461,*,508
0.0,0.0,0.0,25,461,*,104,420
0.0,0.0,0.0,451,353,*,69,372
0.0,0.0,0.0,22,471,*,548,125
0.0,0.0,0.0,25,461,*,111,198
0.0,0.0,0.0,517,372,*,17
0.0,0.0,0.0,25,461,*,196,196
0.0,0.0,0.0,25,461,*,469,24
0.0,0.0,0.0,25,461,*,17
0.0,0.0,0.0,375,22,*,297,238
0.0,0.0,0.0,266,147,*,408,151
0.0,0.0,0.0,471,505,*,89,84
0.5,0.5,0.33333333333333326,147,25,*,147,400
0.0,0.0,0.0,25,461,*,517,104
0.0,0.0,0.0,100,471,*,153,153
0.0,0.0,0.0,461,408,*,494,196
0.0,0.0,0.0,25,461,*,151,446
0.0,0.0,0.0,147,25,*,449,449
0.5,0.5,0.33333333333333326,262,325,*,262,105
0.0,0.0,0.0,266,147,*,348,348
0.0,0.0,0.0,25,461,*,400,26
0.0,0.0,0.0,25,461,*,350,69
0.0,0.0,0.0,66,266,*,463,255
0.0,0.0,0.0,461,408,*,17
0.0,0.0,0.0,147,25,*,400,26
0.0,0.0,0.0,408,449,*,461,343
0.0,0.0,0.0,511,266,*,515,149
0.0,0.0,0.0,104,446,*,43
0.0,0.0,0.0,471,375,*,9,505
0.0,0.0,0.0,22,375,*,153,238
0.0,0.0,0.0,25,461,*,142,372
0.0,0.0,0.0,511,266,*,371,385
0.0,0.0,0.0,471,375,*,382,237
0.0,0.0,0.0,461,408,*,17
0.0,0.0,0.33333333333333326,147,25,*,33,147
0.5,0.5,0.33333333333333326,25,461,*,106,461
0.0,0.0,0.0,375,22,*,423,423
0.0,0.0,0.33333333333333326,461,408,*,408,310
0.0,0.0,0.0,461,408,*,81,483
0.0,0.0,0.0,17,436,*,69,433
0.0,0.0,0.0,2,245,*,197
0.5,0.5,0.33333333333333326,191,9,*,191,523
0.0,0.0,0.0,266,147,*,372,15
0.0,0.0,0.0,22,375,*,153,510
0.0,0.0,0.0,408,449,*,69,105
0.0,0.0,0.0,372,375,*,310,49
0.0,0.0,0.33333333333333326,451,17,*,449,451
0.0,0.0,0.0,471,471,*,375,352
0.5,0.5,0.33333333333333326,461,408,*,461,517
0.0,0.0,0.0,153,471,*,65,138
0.0,0.0,0.0,66,353,*,293,372
0.0,0.0,0.0,66,66,*,313,492
0.0,0.0,0.0,266,147,*,348,348
0.0,0.0,0.0,147,25,*,449,353
0.0,0.0,0.0,153,375,*,455,492
0.0,0.0,0.0,461,408,*,314
0.0,0.0,0.0,5,375,*,150,9
0.0,0.0,0.33333333333333326,461,408,*,408,353
0.0,0.0,0.0,461,408,*,350,69
0.0,0.0,0.0,511,266,*,149,69
0.5,0.5,0.33333333333333326,461,408,*,461,343
0.0,0.0,0.0,471,153,*,138,355
0.0,0.0,0.0,461,408,*,325,80
0.0,0.0,0.0,147,25,*,517,23
0.0,0.0,0.0,375,191,*,547,66
0.0,0.0,0.0,461,408,*,81,325
0.0,0.0,0.0,461,408,*,106,407
0.0,0.0,0.0,25,461,*,511,512
0.0,0.0,0.0,266,147,*,196,196
0.0,0.0,0.0,461,408,*,26,26
0.0,0.0,0.0,375,22,*,67,238
0.0,0.0,0.0,147,25,*,449,350
0.5,0.5,0.33333333333333326,191,97,*,191,389
0.0,0.0,0.0,69,69,*,517,197
0.0,0.0,0.0,25,462,*,122,81
0.5,0.5,0.33333333333333326,266,147,*,266,353
0.0,0.0,0.0,461,408,*,353,148
0.0,0.0,0.0,191,277,*,313,66
0.5,0.5,0.33333333333333326,193,372,*,448,372
0.0,0.0,0.0,461,408,*,325,23
0.0,0.0,0.0,375,22,*,65,138
0.0,0.0,0.0,266,147,*,25
0.5,0.5,0.33333333333333326,485,449,*,485,17
0.0,0.0,0.0,25,461,*,151,197
0.0,0.0,0.0,25,461,*,262,112
0.0,0.0,0.0,147,25,*,408,551
0.0,0.0,0.0,66,254,*,469,105
0.0,0.0,0.0,461,408,*,17,17
0.0,0.0,0.33333333333333326,461,408,*,314,461
0.0,0.0,0.0,25,461,*,196,270
0.0,0.0,0.0,25,461,*,325,80
0.0,0.0,0.0,25,461,*,142,372
0.0,0.0,0.0,485,353,*,262,402
0.0,0.0,0.0,375,471,*,188,115
0.0,0.0,0.0,82,254,*,266,483
0.0,0.0,0.33333333333333326,461,408,*,408,111
0.0,0.0,0.33333333333333326,66,104,*,185,66
0.0,0.0,0.0,485,449,*,325,387
0.0,0.0,0.0,147,25,*,266,517
0.0,0.0,0.0,26,106,*,407,551
0.0,0.0,0.0,25,461,*,69,310
0.0,0.0,0.0,472,472,*,281,375
0.0,0.0,0.0,25,461,*,267,372
