0.0,0.0,0.0,353,17,436,325,*,105,517,343
0.0,0.0,0.0,17,436,325,402,*,246,428,343
0.0,0.0,0.16666666666666663,449,451,353,325,*,196,196,325,479
0.0,0.0,0.0,402,246,111,105,*,234,151,368,372
0.0,0.0,0.0,66,372,375,471,*,161
0.0,0.0,0.0,191,66,66,66,*,165,475,12,375
0.0,0.0,0.0,408,449,451,353,*,407,452,320
0.0,0.0,0.0,17,436,325,402,*,105,408,372,547
0.0,0.0,0.0,353,17,436,325,*,262,469,469,343
0.0,0.0,0.0,254,511,266,147,*,33,149,25,106
0.0,0.0,0.19999999999999996,17,436,325,402,*,402,197
0.0,0.0,0.1428571428571428,266,147,25,408,*,147,511,196,403
0.25,0.25,0.16666666666666663,375,22,471,375,*,10,5,548,375
0.0,0.0,0.0,17,436,325,402,*,452,196,421,263
0.0,0.0,0.0,147,25,461,408,*,517,24,344,372
0.0,0.0,0.0,353,17,436,325,*,196,324,228
0.0,0.0,0.0,325,402,246,111,*,27,368,427,446
0.0,0.0,0.0,353,17,436,325,*,267,110,18,111
0.0,0.0,0.0,353,17,436,325,*,196,196,402,427
0.0,0.0,0.1428571428571428,104,372,375,22,*,228,229,372,491
0.0,0.0,0.0,353,17,436,325,*,111,228,23,495
0.0,0.0,0.0,66,147,372,238,*,471,455,124,188
0.0,0.0,0.0,353,17,436,325,*,372,210,375,185
0.0,0.0,0.0,353,17,436,325,*,104,420,428,372
0.0,0.0,0.0,353,17,436,325,*,196
0.0,0.0,0.1428571428571428,372,375,22,471,*,499,372,13,9
0.0,0.0,0.16666666666666663,451,353,69,433,*,350,69,105,105
0.25,0.25,0.25,353,17,436,325,*,17
0.0,0.0,0.1428571428571428,17,436,325,402,*,148,325,80,245
0.0,0.0,0.0,353,17,436,325,*,402,410,247,469
0.0,0.0,0.0,451,353,17,436,*,325,234,24,427
0.0,0.0,0.0,105,23,372,375,*,517,374,374,152
0.0,0.0,0.0,449,451,353,17,*,517,197,372,15
0.0,0.0,0.0,353,17,436,325,*,451,111,105,128
0.0,0.0,0.0,353,17,436,325,*,196,262,403,324
0.0,0.0,0.0,427,372,191,116,*,446
0.0,0.0,0.0,17,436,325,402,*,452,69,105,420
0.0,0.0,0.0,402,246,469,105,*,150,4,375,153
0.25,0.25,0.25,408,449,451,353,*,449
0.0,0.0,0.0,471,188,563,530,*,492,455,239,238
0.25,0.25,0.1428571428571428,353,17,436,325,*,353,402,324,225
0.0,0.0,0.1428571428571428,408,449,451,353,*,407,353,372,317
0.0,0.0,0.0,17,436,325,402,*,148
0.0,0.0,0.0,451,353,17,436,*,350,350
0.0,0.0,0.0,353,17,436,325,*,372,481
0.0,0.0,0.0,375,430,471,475,*,66,105,427,231
0.0,0.0,0.0,17,436,325,402,*,69,111,234,105
0.0,0.0,0.0,471,191,66,17,*,317,9,547,153
0.0,0.0,0.0,190,473,448,193,*,372,213,239,5
0.0,0.0,0.0,9,191,9,191,*,568,506,541,278
0.25,0.25,0.19999999999999996,449,451,353,17,*,449,350,350
0.0,0.0,0.0,402,246,105,23,*,110
0.0,0.0,0.0,66,66,266,147,*,212,425
0.0,0.0,0.1428571428571428,262,111,469,427,*,270,469,321,324
0.0,0.0,0.0,375,475,375,66,*,185,123,119,9
0.0,0.0,0.1428571428571428,372,375,22,390,*,343,372,13,9
0.0,0.0,0.1428571428571428,17,436,325,402,*,402,246,105,27
0.0,0.0,0.0,80,258,27,372,*,452,196,270,517
0.0,0.0,0.0,449,451,353,17,*,112,105,104
0.0,0.0,0.0,451,353,17,436,*,325,80,258,324
0.0,0.0,0.1428571428571428,147,104,372,375,*,27,372,471,277
0.0,0.0,0.0,17,436,325,402,*,104,343
0.0,0.0,0.0,66,266,17,436,*,463,512,149,69
0.0,0.0,0.0,325,402,246,105,*,262,168
0.0,0.0,0.0,325,402,246,111,*,69,196,267,270
0.0,0.0,0.0,408,449,451,353,*,508,482,482,482
0.0,0.0,0.0,17,436,325,402,*,262,150,270,48
0.0,0.0,0.0,17,436,325,402,*,350,69,267,310
0.0,0.0,0.0,451,353,17,436,*,325,469,427,50
0.25,0.25,0.1428571428571428,266,147,461,408,*,508,82,25,408
0.0,0.0,0.0,17,436,325,402,*,372,239,238,475
0.0,0.0,0.0,17,436,196,325,*,262,111,319,151
0.0,0.0,0.0,353,17,436,325,*,451,196,402,373
0.0,0.0,0.0,449,451,353,17,*,236,69,270,426
0.0,0.0,0.0,17,436,325,402,*,262,473,427,39
0.0,0.0,0.0,451,353,17,17,*,449,196,267,246
0.0,0.0,0.0,22,375,22,375,*,153,471,181,194
0.0,0.0,0.0,353,17,436,196,*,104,343,343
0.0,0.0,0.0,449,451,353,17,*,556,196,150,479
0.0,0.0,0.0,17,436,325,402,*,373,69,69,105
0.0,0.0,0.1428571428571428,375,66,350,69,*,475,119,210,66
0.0,0.0,0.0,17,436,325,402,*,473,448,27,368
0.0,0.0,0.0,449,451,353,17,*,31
0.25,0.25,0.25,402,111,105,104,*,104
0.0,0.0,0.0,325,402,246,446,*,151,104,347,372
0.0,0.0,0.0,353,17,436,325,*,451,105,427,197
0.0,0.0,0.0,451,353,17,436,*,449,246,18,151
0.0,0.0,0.0,5,66,66,66,*,309,9,466,392
0.0,0.0,0.0,17,436,325,402,*,350
0.0,0.0,0.0,17,436,325,402,*,111,190,473,105
0.0,0.0,0.0,353,17,436,325,*,267,112,310,517
0.25,0.25,0.33333333333333326,451,353,17,436,*,449,17,436,110
0.0,0.0,0.0,353,17,436,325,*,402,235,270,23
0.0,0.0,0.0,353,17,436,325,*,151,428,343,499
0.0,0.0,0.16666666666666663,246,23,372,375,*,372,372,360,66
0.0,0.0,0.0,66,66,82,254,*,327,327,372,375
0.0,0.0,0.0,25,461,408,449,*,81,350
0.0,0.0,0.0,17,436,325,402,*,27,420,343,372
0.0,0.0,0.0,402,552,372,475,*,427,344
0.0,0.0,0.0,451,353,17,436,*,325,372,304,8
0.0,0.0,0.1428571428571428,320,450,262,325,*,450,403,247,111
0.0,0.0,0.0,353,17,436,325,*,105,368,271
0.0,0.0,0.0,66,511,266,147,*,106,407,494,17
0.25,0.25,0.1428571428571428,353,17,436,325,*,353,148,267,403
