0.0,0.0,0.0,42,30,31,44,*,203,147,148
0.0,0.0,0.16666666666666663,35,27,25,202,*,40,202,40,46
0.0,0.0,0.1428571428571428,35,42,39,46,*,57,35,189,53
0.0,0.0,0.0,35,202,204,206,*,26,160,75,235
0.0,0.0,0.0,146,202,189,30,*,42,223,211,207
0.0,0.0,0.0,36,42,39,46,*,30,179
0.25,0.25,0.1428571428571428,30,42,362,44,*,30,92,97,102
0.0,0.0,0.0,29,30,32,35,*,184,38,49,225
0.0,0.0,0.0,36,35,42,46,*,25,189,190
0.0,0.0,0.0,27,42,28,45,*,30,31,227,74
0.0,0.0,0.16666666666666663,146,202,189,30,*,41,53,30,53
0.25,0.25,0.33333333333333326,35,49,44,48,*,49,224,362,48
0.0,0.0,0.0,202,189,30,49,*,27,224,209,213
0.0,0.0,0.0,45,46,47,53,*,42,189,64
0.0,0.0,0.1428571428571428,362,177,30,227,*,227,92,83,134
0.0,0.0,0.0,35,362,177,30,*,205,248,46,268
0.0,0.0,0.0,42,28,45,53,*,114,73,120,254
0.0,0.0,0.0,45,53,241,242,*,36,40,135,119
0.0,0.0,0.0,36,42,39,46,*,209,213,214,213
0.25,0.25,0.16666666666666663,221,211,202,203,*,221,241,255,241
0.0,0.0,0.1428571428571428,44,49,189,202,*,189,28,170,174
0.0,0.0,0.0,36,189,191,193,*,362,30,112,127
0.25,0.25,0.1428571428571428,45,53,241,242,*,45,33,337,118
0.0,0.0,0.0,45,53,241,242,*,32,27,29,57
0.0,0.0,0.0,27,32,35,53,*,169,176,43,159
0.0,0.0,0.0,25,28,202,203,*,53,197,200,162
0.0,0.0,0.0,42,30,45,41,*,36,210,209,219
0.0,0.0,0.0,36,42,39,46,*,245,211,207,209
0.25,0.25,0.16666666666666663,42,41,45,53,*,42,70,42,325
0.0,0.0,0.0,28,45,41,53,*,248,36,205,247
0.0,0.0,0.0,34,42,45,41,*,28,245,115,132
0.0,0.0,0.0,36,42,118,135,*,202,44,244,35
0.0,0.0,0.0,146,202,189,30,*,53,56,44,40
0.0,0.0,0.0,28,45,53,241,*,379,110
0.0,0.0,0.0,40,44,48,49,*,155,196,160,162
0.0,0.0,0.0,32,35,202,189,*,57,57,82,36
0.0,0.0,0.0,35,42,46,47,*,227,202,85,30
0.0,0.0,0.0,185,188,25,27,*,36,202,30,283
0.25,0.25,0.16666666666666663,42,30,44,48,*,27,57,57,48
0.0,0.0,0.1428571428571428,45,53,182,27,*,189,48,27,213
0.0,0.0,0.0,42,30,31,44,*,26,189,85,189
0.0,0.0,0.0,42,45,53,241,*,33,28,44,120
0.0,0.0,0.0,42,362,177,189,*,92,83,97,98
0.0,0.0,0.0,45,53,241,242,*,32,362,74,205
0.0,0.0,0.0,42,30,44,48,*,39,278,85,203
0.0,0.0,0.0,32,35,146,202,*,57,135,85,92
0.0,0.0,0.0,36,42,46,245,*,53,55,75,64
0.0,0.0,0.1428571428571428,146,202,189,30,*,202,127,113,126
0.0,0.0,0.0,32,179,180,181,*,28,40,154,189
0.0,0.0,0.0,41,28,214,221,*,189,362,30,40
0.0,0.0,0.0,42,36,28,202,*,155,196
0.0,0.0,0.0,42,45,53,241,*,83,119,126,139
0.0,0.0,0.1428571428571428,42,30,48,44,*,46,84,191,42
0.0,0.0,0.0,28,45,41,53,*,61,106,96,54
0.0,0.0,0.0,35,42,46,39,*,29,36,189,380
0.0,0.0,0.0,181,184,185,187,*,30,71,74,244
0.0,0.0,0.0,30,31,42,202,*,48,48
0.0,0.0,0.0,36,35,42,44,*,30,179,33,241
0.0,0.0,0.0,180,181,184,185,*,209,30,44,244
0.0,0.0,0.0,53,62,35,25,*,224,205,29,169
0.0,0.0,0.0,146,202,189,30,*,155
0.0,0.0,0.0,35,44,48,49,*,179
0.0,0.0,0.1428571428571428,42,45,41,53,*,28,53,282,66
0.0,0.0,0.0,35,146,40,44,*,115,138,72,134
0.0,0.0,0.1428571428571428,36,35,42,46,*,45,42,114,222
0.0,0.0,0.0,36,39,177,42,*,40,27,154,198
0.0,0.0,0.0,180,181,182,183,*,36,82,44,26
0.0,0.0,0.0,42,30,44,53,*,36
0.0,0.0,0.0,42,30,31,48,*,203,207,214,213
0.0,0.0,0.0,30,42,31,44,*,55,35,189,85
0.0,0.0,0.0,42,30,31,44,*,189,196,36,38
0.0,0.0,0.0,42,45,53,241,*,28,41,248,60
0.0,0.0,0.0,36,42,245,39,*,362,74,205,57
0.25,0.25,0.16666666666666663,35,40,40,245,*,35,177,189,64
0.0,0.0,0.0,36,39,40,42,*,362
0.0,0.0,0.0,29,32,35,202,*,44,71,74,278
0.0,0.25,0.33333333333333326,42,202,203,207,*,202,42,114,136
0.0,0.0,0.0,42,362,48,53,*,227,247,259
0.25,0.25,0.16666666666666663,160,162,163,164,*,157,162,193
0.25,0.25,0.1428571428571428,198,32,35,146,*,202,25,35,27
0.0,0.0,0.1428571428571428,36,28,42,44,*,198,30,362,36
0.0,0.0,0.0,28,42,41,45,*,36,202,241,189
0.0,0.0,0.1428571428571428,42,362,30,31,*,189,112,42,72
0.0,0.0,0.0,42,30,31,48,*,179
0.0,0.0,0.0,362,26,27,29,*,189,45,241,242
0.0,0.0,0.0,42,41,45,46,*,24,25,26,57
0.0,0.0,0.1428571428571428,42,41,45,53,*,41,47,73,84
0.0,0.0,0.0,36,42,39,46,*,177,32,180,30
0.0,0.0,0.1428571428571428,30,42,31,44,*,69,70,42,177
0.0,0.0,0.0,42,210,224,202,*,227,30,57,245
0.0,0.0,0.0,202,42,53,55,*,35,69,97,102
0.0,0.0,0.1428571428571428,42,44,48,53,*,53,40,154,276
0.0,0.0,0.0,40,205,202,204,*,32,42,108,298
0.0,0.0,0.0,220,210,362,177,*,330,24,25,27
0.0,0.0,0.0,362,177,189,30,*,23,26,25,112
0.0,0.0,0.0,35,146,40,44,*,116,127,137,126
0.0,0.0,0.0,42,211,221,202,*,45,53,56,66
0.0,0.0,0.0,183,182,184,34,*,185,187
